epoch,step,train_kl_loss,train_loss,train_recon_loss,val_kl_loss,val_loss,val_recon_loss
8,65,4.428112983703613,8.024670600891113,0.02467142790555954,,,
8,66,4.446154594421387,8.018980026245117,0.018980344757437706,,,
8,67,4.375417709350586,8.026394844055176,0.026394503191113472,,,
8,68,4.366752624511719,8.026045799255371,0.026045914739370346,,,
8,69,4.395364761352539,8.023849487304688,0.023849645629525185,,,
8,70,4.455330848693848,8.02413558959961,0.02413598820567131,,,
8,71,4.327158451080322,8.091476440429688,0.091476671397686,,,
8,71,,,,4.35161828994751,8.025981903076172,0.02598152495920658
9,72,4.2687177658081055,8.019411087036133,0.01941140741109848,,,
9,73,4.389510154724121,8.024612426757812,0.024612419307231903,,,
9,74,4.4834771156311035,8.027763366699219,0.027763040736317635,,,
9,75,4.41859769821167,8.024616241455078,0.024617111310362816,,,
9,76,4.454617977142334,8.023681640625,0.023681584745645523,,,
9,77,4.507452011108398,8.02900218963623,0.02900281362235546,,,
9,78,4.421222686767578,8.029184341430664,0.029184844344854355,,,
9,79,4.493870735168457,8.075483322143555,0.07548277080059052,,,
9,79,,,,4.497835159301758,8.020868301391602,0.020867537707090378
10,80,4.434093952178955,8.020978927612305,0.020978888496756554,,,
10,81,4.5005340576171875,8.018682479858398,0.018682356923818588,,,
10,82,4.358539581298828,8.02175521850586,0.021755073219537735,,,
10,83,4.383594512939453,8.019670486450195,0.01967085525393486,,,
10,84,4.538450717926025,8.02211856842041,0.022118428722023964,,,
10,85,4.396228790283203,8.01899242401123,0.01899223029613495,,,
10,86,4.438802719116211,8.018648147583008,0.018648069351911545,,,
10,87,4.285372734069824,8.054387092590332,0.05438729748129845,,,
